original_path,sha256,has_frontmatter,title,owner,suggested_type,suggested_destination
DELIVERY-SUMMARY.md,7f844fadaab3c021671d2603cf5eaeb71d3f10e1e60be1e6d1eaa40d4be51827,no,,,both,docs/both/DELIVERY-SUMMARY.md
DOCUMENTATION_SUMMARY.md,9abc0fe11f0f13ddea22769a4085ad681e9b8817d25c73746fee2506d464b46b,no,,,both,docs/both/DOCUMENTATION_SUMMARY.md
INDEX.md,a8a09fbde561e578dbd187d4dfb1f8ed474ec632a29b58cb8380b3300b2edfd5,no,,,technical,docs/technical/INDEX.md
INTEGRATION-SUMMARY.md,c70a9cd3b1be7155b0b0f836d92b8aa9f907ad515ecd945b7724beab477b4339,no,,,both,docs/both/INTEGRATION-SUMMARY.md
INTERVIEW_GUIDE.md,1dfd883c93a5b607f40df4cf5831ee715cc6c731de76cee9baf979b2a712d7e0,no,,,both,docs/both/INTERVIEW_GUIDE.md
MASTER_ARCHITECTURE_REFERENCE.md,0a3fb460aa8a4813714b2b0c142ae85d564227257c3d57caf59a325082d54594,no,,,both,docs/both/MASTER_ARCHITECTURE_REFERENCE.md
README-PERFORMANCE-UPDATE.md,3d90bfd87487f4dfd7833ff7f624879672a429a162a882a29498a251be3b5a73,no,,,both,docs/both/README-PERFORMANCE-UPDATE.md
README.md,69f63b4eddd0b68984e4116efd436e49607856fe0dda42dc196f497ce038711e,no,,,both,docs/both/README.md
adr/ADR-001-Multi-Model-Strategy.md,edc753341fbd9b700a2bf060996ffdc09a77d668e9b6b533701eec91b60624b6,no,,,both,docs/both/ADR-001-Multi-Model-Strategy.md
agents/01-intake-agent.md,6244784a767b5500ead4f8ae271f3dc81d4139c0d681d56343993bd8a6f4fc92,no,,,both,docs/both/01-intake-agent.md
agents/02-eligibility-agent.md,839f7e259ba6b758e6a41a99b427bd6101b913018d6a460a2ae812d9a6232132,no,,,both,docs/both/02-eligibility-agent.md
agents/03-benefits-agent.md,8db5e739cf6f2e17c2861f2aec5e3b2147282908e834e387a23392f39b6e8b85,no,,,both,docs/both/03-benefits-agent.md
